school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
19618B,ST PAULS SEN NS,233,N,53.3952276,-6.18367,476,476,0,3.39657,3.39657,0,3.39657,,,2.256608,-0.942732,26.469731,,,,,
19619D,ST MALACHYS NS,148,Y,53.3823876,-6.2997998,495,495,0,9.168953,9.168953,0,9.168953,,9.203171,-6.542819,14.904947,16.15922,,,,,
19628E,ST FIACHRAS SEN N S,724,N,53.3876711,-6.2244013,362,342,20,1.607544,2.962773,-1.355229,4.318002,,,11.25559,-0.0215,6.45725,,,,,-20.185789
19661C,ST GABRIELS NS,270,Y,53.3429717,-6.3473097,1678,1570,108,26.237352,26.520935,-0.283583,26.804518,,63.936924,12.366188,37.307363,35.193045,,,7.616071,-9.906656,4.201333
19662E,ST MICHAELS NS,379,Y,53.3433768,-6.3480633,2379,2210,169,24.814225,24.770272,0.043953,24.726319,,68.110075,12.719677,35.374874,37.739846,,,8.877317,-3.574174,4.881058
19663G,ST RAPHAELS NS,362,Y,53.3431876,-6.3477234,2251,2098,153,25.391418,25.507973,-0.116554,25.624527,,66.568703,13.010322,37.036784,36.360708,,,8.82541,-6.726387,5.135687
19668Q,ST FRANCIS SENIOR N S,219,Y,53.4038266,-6.205909,958,878,80,12.397823,13.060726,-0.662902,13.723628,,14.283366,18.492923,13.30162,9.654276,,,-6.732337,,
19669S,LADY OF GOOD COUNSEL BOYS SENIOR NS,146,Y,53.3303441,-6.3170366,1265,1265,0,-2.291871,-2.291871,0,-2.291871,,,-7.265426,-4.270171,2.243967,,,,,
19727G,ST MARYS CENTRAL N S,538,N,53.3210652,-6.2389255,838,838,0,3.651867,3.651867,0,3.651867,,,-5.117913,-0.213119,18.653301,,,,,
19764M,OUR LADY OF WAYSIDE N S,117,Y,53.3312985,-6.3378935,6,6,0,19.196666,19.196666,0,19.196666,,,63.0675,-2.73875,,,,,,
19777V,GAELSCOIL MIDE,239,N,53.3855085,-6.152911,1074,1074,0,-9.039758,-9.039758,0,-9.039758,,,4.830125,-10.618736,,,,,,
19831B,SCOIL CHAOIMHIN,60,Y,53.3512957,-6.2576946,4207,3862,345,36.836348,26.328853,10.507495,15.821358,,6.235867,52.625674,10.04721,31.47515,,,,89.055855,
19837N,DRIMNAGH CASTLE CBS N S,371,N,53.3243593,-6.3309211,1058,1058,0,21.041035,21.041035,0,21.041035,,76.070375,28.855247,18.151765,21.923288,,,,,
19845M,NORTH DUBLIN NS PROJECT,226,N,53.3819302,-6.2682924,237,237,0,3.602145,3.602145,0,3.602145,,,9.501888,-14.147901,15.69962,,,,,
19896G,SCOIL CAITRIONA NA MBRAITHRE,162,Y,53.3362025,-6.2458237,10164,9896,268,11.294391,11.062578,0.231813,10.830765,,18.936448,8.123525,10.338381,17.406345,,,39.912929,-3.477303,
19907I,GAELSCOIL MOLOGA,228,N,53.3173504,-6.2853573,666,666,0,1.266987,1.266987,0,1.266987,,,0.457613,1.476594,,,,,,
19913D,ST JOSEPHS NS,347,Y,53.3981164,-6.2032168,329,317,12,8.838206,9.359164,-0.520957,9.880121,,-0.2715,14.596417,11.976352,-6.584541,,,-11.330833,,
19919P,ST DAVIDS N S,285,N,53.3858123,-6.217246,2605,2476,129,19.86594,20.009694,-0.143754,20.153448,,,17.653709,21.513269,21.750716,,,0.455684,,-3.197805
19920A,ST JOHN OF GOD N S,168,Y,53.3896502,-6.2173226,216,200,16,6.257223,7.095347,-0.838123,7.93347,,,3.062882,9.801696,5.870604,,,,,-8.905062
19924I,HAROLDS CROSS N S,381,Y,53.3173638,-6.2857534,572,572,0,1.969848,1.969848,0,1.969848,,,4.386276,1.420002,,,,,,
19926M,GAELSCOIL CHOLAISTE MHUIRE,195,N,53.3535881,-6.2620967,9105,8787,318,27.702853,25.048445,2.654408,22.394037,,29.186014,20.813352,27.110403,28.779981,,,,51.682375,
19928Q,RANELAGH MULTI DENOM NS,232,N,53.3267982,-6.2576866,1122,1122,0,14.985792,14.985792,0,14.985792,,41.162121,12.977418,15.194328,14.167353,,,,,
19933J,SCOIL TREASA NAOFA,192,Y,53.3344596,-6.2793638,8497,8005,492,6.682155,7.82038,-1.138224,8.958604,13.914121,,15.005323,1.361106,-0.399823,,,-17.247165,,
19935N,SCOIL EOIN,139,Y,53.3870066,-6.1570723,890,890,0,-5.786014,-5.786014,0,-5.786014,,,12.189413,-7.777384,,,,,,
19946S,RUTLAND NATIONAL SCHOOL,162,Y,53.3533709,-6.2551024,11092,10410,682,30.962485,25.772791,5.189694,20.583097,,21.585355,36.711153,9.501258,33.211786,,,68.422809,77.671775,14.722777
