school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,PM25_overall,PM25_school_days_200m,PM25_midterm_days_200m,PM25_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
19524P,OUR LADY IMMAC SEN N S,193,Y,53.4018005,-6.1934085,124,124,0,8.583241,8.583241,0.000000,8.583241,,,8.583241,,,,,,,
19538D,ST KEVINS JUNIOR N S,197,N,53.3965638,-6.1578348,498,488,10,12.541512,12.304156,0.237355,12.066801,,,12.951014,9.844161,,,,11.820300,,
19546C,ST OLIVER PLUNKETT N S,142,Y,53.3818496,-6.2997749,718,718,0,7.458746,7.458746,0.000000,7.458746,,5.986942,7.632208,7.950446,7.640035,,,,,
19583I,ST JOSEPHS SENIOR N S,138,Y,53.4013646,-6.2719084,1119,1119,0,6.685512,6.685512,0.000000,6.685512,,,6.283916,7.193603,,,,,,
19589U,GAELSCOIL INSE CHOR,241,N,53.3440411,-6.311834,2209,2042,167,8.717839,7.920358,0.797480,7.122878,10.801730,11.723930,7.650926,7.046266,11.299945,,,9.543195,,14.183894
19611K,SCOIL NAOMH COLMCILLE,217,N,53.3967797,-6.1591405,1554,1397,157,11.042867,9.936976,1.105891,8.831085,,,10.611590,13.376885,,,,10.812375,,
19618B,ST PAULS SEN NS,233,N,53.3952276,-6.18367,732,732,0,7.087375,7.087375,0.000000,7.087375,,,7.547472,5.233857,9.706122,,,,,
19619D,ST MALACHYS NS,148,Y,53.3823876,-6.2997998,813,813,0,7.360437,7.360437,0.000000,7.360437,,6.053985,7.422076,7.789329,7.388336,,,,,
19628E,ST FIACHRAS SEN N S,724,N,53.3876711,-6.2244013,894,829,65,7.704749,7.023713,0.681035,6.342678,,,4.041950,7.464756,8.820900,,,11.431466,,7.597200
19661C,ST GABRIELS NS,270,Y,53.3429717,-6.3473097,3135,2909,226,6.655628,5.901715,0.753913,5.147802,,7.758250,5.371139,5.974678,9.209002,,,5.481644,12.440311,8.900953
19662E,ST MICHAELS NS,379,Y,53.3433768,-6.3480633,3134,2908,226,6.574249,5.806598,0.767651,5.038947,,7.614018,5.278852,6.227657,8.078610,,,5.508812,12.999356,8.899130
